company_google_maps_url|company_name|company_avg_rating|company_number_of_ratings|company_category|company_address|company_website|company_phone
https://www.google.com/maps/place/SUSHI+COMPANY/data=!4m5!3m4!1s0x935ef7d5ed9671bf:0xb08594b8df37d4c2!8m2!3d-16.7095528!4d-49.3243948?authuser=0&hl=pt-BR&rclk=1|SUSHI COMPANY|4,8|38 avaliações|Restaurante|||
https://www.google.com/maps/place/DRIDI+Clothing+Company/data=!4m5!3m4!1s0x935ef164d3713c73:0x8d0e3dce8b3d9a73!8m2!3d-16.7362027!4d-49.2757404?authuser=0&hl=pt-BR&rclk=1|DRIDI Clothing Company|5,0|1 avaliação|Loja de moda feminina|||
https://www.google.com/maps/place/Wb+Company/data=!4m5!3m4!1s0x935ef6ecc0b415a9:0x82efa9af1715e251!8m2!3d-16.7070772!4d-49.3108289?authuser=0&hl=pt-BR&rclk=1|Wb Company||||Av. Itália, 1037 - Jardim Europa, Goiânia - GO, 74325-110|Reivindicar esta empresa|
https://www.google.com/maps/place/Company+Cred+Goi%C3%A2nia/data=!4m5!3m4!1s0x935ef160198d6085:0xffd86ed07ac50106!8m2!3d-16.7129902!4d-49.266637?authuser=0&hl=pt-BR&rclk=1|Company Cred Goiânia|||Escritório da empresa|Av T4, 619 Ed. Buena Vista Office - 3º Andar Sala 301 My Place Office - St. Bueno, Goiânia - GO, 74230-035||companycred.com.br
https://www.google.com/maps/place/ILLUMINARTE+ELETRICA+COMPANY/data=!4m5!3m4!1s0x935ef94a4d105a61:0x49baf817c3d3bee3!8m2!3d-16.8042844!4d-49.3556929?authuser=0&hl=pt-BR&rclk=1|ILLUMINARTE ELETRICA COMPANY|4,0|1 avaliação|Eletricista|R. Venezuela, 53 - LOTE 19 QUADRA - St. Aeroporto Sul, Aparecida de Goiânia - GO, 74947-090|(62) 99633-4373|5JWV+7P St. Aeroporto Sul, Aparecida de Goiânia - GO
https://www.google.com/maps/place/Company+club/data=!4m5!3m4!1s0x935ef1ffea8db65b:0x1b214b43cdd9d4a7!8m2!3d-16.685009!4d-49.2482764?authuser=0&hl=pt-BR&rclk=1|Company club|||Agente comercial de carros|Av 83 Ao lado da Delegacia Militar Setor Sul de, GO, 74000-000|(62) 99420-9873|8Q72+XM Goiânia, GO
https://www.google.com/maps/place/UM+Company/data=!4m5!3m4!1s0x445fe712bd7f47cb:0xe28399ec85869f69!8m2!3d-16.6958759!4d-49.3042674?authuser=0&hl=pt-BR&rclk=1|UM Company|5,0|3 avaliações|Agência de publicidade|instagram.com||
https://www.google.com/maps/place/Renove+Empreendimentos/data=!4m5!3m4!1s0x935ef78fb0b64457:0x38ed766251a958cd!8m2!3d-16.762727!4d-49.3419404?authuser=0&hl=pt-BR&rclk=1|Renove Empreendimentos|5,0|4 avaliações|Construtora|R. 8-E, Qd 27 - Lt 28, sala 3 - St. Garavelo Res. Park, Aparecida de Goiânia - GO, 74932-250|negocio.site|(62) 99236-3252
https://www.google.com/maps/place/Amway+Goi%C3%A2nia+-+Aparecida+de+Goi%C3%A2nia+-+Comprar%3F+Vender%3F+Seu+proprio+Negocio%3F+-+Radkim+Company/data=!4m5!3m4!1s0x935ef7ff39ef1939:0x84819c233efe1fcd!8m2!3d-16.774285!4d-49.360452?authuser=0&hl=pt-BR&rclk=1|Amway Goiânia - Aparecida de Goiânia - Comprar? Vender? Seu proprio Negocio? - Radkim Company|4,0|4 avaliações|Fornecedor de produtos de limpeza|Rua BL 11 Qd b8 Lt05 - Conjunto Habitacional Baliza, Goiânia - GO, 74355-550|amway.com.br|(62) 98162-3977
https://www.google.com/maps/place/Company+Contabilidade+Eireli/data=!4m5!3m4!1s0x935ef1103769c1e1:0x21ec195bb398e2b5!8m2!3d-16.6868687!4d-49.2507487?authuser=0&hl=pt-BR&rclk=1|Company Contabilidade Eireli|5,0|1 avaliação|Escritório da empresa|R. 83-F, 372 - St. Sul, Goiânia - GO, 74175-120|companycontabilidade.com|(62) 3281-3955
